105/08/24,2186000,1039700,0.48,0.48,0.46,0.46,-0.04,59
105/08/25,2386000,1101620,0.46,0.51,0.46,0.47,+0.01,82
105/08/26,4540000,2250580,0.47,0.54,0.46,0.50,+0.03,157
105/08/29,282000,142580,0.51,0.51,0.48,0.51,+0.01,9
105/08/30,16000,8800,0.55,0.55,0.55,0.55,+0.04,2
105/08/31,18000,10330,0.57,0.58,0.57,0.58,+0.03,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,5000,2100,0.42,0.42,0.42,0.42,-0.07,1
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
