105/08/24,481000,262970,0.50,0.61,0.50,0.61,+0.11,4
105/08/25,199000,137940,0.74,0.74,0.65,0.66,+0.05,4
105/08/26,411000,326580,0.78,0.82,0.78,0.78,+0.12,8
105/08/29,312000,211430,0.70,0.71,0.65,0.71,-0.07,6
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,10000,7100,0.71,0.71,0.71,0.71,+0.01,1
105/09/06,10000,7000,0.70,0.70,0.70,0.70,-0.01,1
105/09/07,598000,423590,0.71,0.71,0.70,0.70,0.00,2
105/09/08,499000,324350,0.65,0.65,0.65,0.65,-0.05,1
105/09/09,163000,107580,0.66,0.66,0.66,0.66,+0.01,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,10000,7200,0.72,0.72,0.72,0.72,+0.02,1
105/09/13,31000,22790,0.72,0.89,0.71,0.89,+0.17,4
105/09/14,20000,17700,0.87,0.90,0.87,0.90,+0.01,2
105/09/19,1000,860,0.86,0.86,0.86,0.86,-0.04,1
105/09/20,30000,28400,0.94,0.97,0.93,0.93,+0.07,3
105/09/21,20000,18300,0.94,0.94,0.89,0.89,-0.04,2
105/09/22,50000,47800,0.97,0.99,0.92,0.92,+0.03,5
105/09/23,60000,54500,0.90,0.93,0.89,0.93,+0.01,4
105/09/26,20000,18700,0.94,0.94,0.93,0.93,0.00,2
105/09/29,0,0,---,---,---,---,---,0
105/09/30,590000,555750,0.91,1.03,0.91,0.97,+0.11,19
105/10/03,288000,346440,1.01,1.34,1.01,1.28,+0.31,24
105/10/04,265000,325800,1.22,1.25,1.20,1.23,-0.05,24
105/10/05,250000,284250,1.17,1.17,1.10,1.13,-0.10,11
105/10/06,856000,1138080,1.27,1.58,1.27,1.58,+0.45,12
105/10/07,303000,436010,1.43,1.50,1.41,1.41,-0.17,20
105/10/11,50000,52000,1.04,1.04,1.04,1.04,-0.37,1
105/10/12,223000,231860,1.07,1.07,1.02,1.02,-0.02,6
105/10/13,0,0,---,---,---,---,---,0
105/10/14,190000,133600,0.71,0.71,0.70,0.70,-0.18,2
105/10/17,43000,36120,0.84,0.84,0.84,0.84,+0.14,1
105/10/18,0,0,---,---,---,---,---,0
105/10/19,189000,153360,0.78,1.01,0.78,1.01,+0.22,8
105/10/20,402000,391930,0.95,1.10,0.90,0.97,-0.04,7
105/10/21,336000,310300,0.88,0.96,0.84,0.96,-0.01,8
105/10/24,3000,2580,0.86,0.86,0.86,0.86,-0.10,1
105/10/25,135000,128600,0.95,0.96,0.95,0.96,+0.10,2
105/10/26,135000,112700,0.84,0.84,0.82,0.82,-0.14,2
105/10/27,0,0,---,---,---,---,---,0
105/10/28,72000,68680,0.94,0.96,0.94,0.96,+0.12,3
105/10/31,22000,18480,0.84,0.84,0.84,0.84,-0.12,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,50000,26500,0.53,0.53,0.53,0.53,-0.11,2
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,470000,165820,0.35,0.36,0.35,0.36,0.00,7
105/11/14,473000,137210,0.33,0.33,0.29,0.29,-0.07,3
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,180000,50800,0.26,0.31,0.26,0.31,+0.07,3
105/11/22,590000,226110,0.31,0.41,0.31,0.41,+0.10,12
