105/08/24,372000,154710,0.41,0.43,0.40,0.40,+0.02,14
105/08/25,314000,118800,0.37,0.38,0.37,0.38,-0.02,10
105/08/26,340000,132900,0.40,0.40,0.39,0.39,+0.01,7
105/08/29,583000,235650,0.40,0.43,0.40,0.40,+0.01,16
105/08/30,434000,169920,0.40,0.40,0.38,0.38,-0.02,11
105/08/31,140000,50800,0.36,0.37,0.36,0.37,-0.01,2
105/09/01,22000,7700,0.35,0.35,0.35,0.35,-0.02,2
105/09/02,233000,72380,0.32,0.32,0.30,0.30,-0.05,4
105/09/05,30000,10200,0.34,0.34,0.34,0.34,+0.04,2
105/09/06,0,0,---,---,---,---,---,0
105/09/07,300000,95030,0.31,0.34,0.31,0.34,0.00,3
105/09/08,200000,62000,0.31,0.31,0.31,0.31,-0.03,2
105/09/09,220000,62600,0.29,0.29,0.28,0.28,-0.03,3
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,10000,2400,0.24,0.24,0.24,0.24,-0.01,1
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,10000,1900,0.19,0.19,0.19,0.19,-0.02,1
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,20000,2800,0.14,0.14,0.14,0.14,-0.02,1
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,30000,2700,0.09,0.09,0.09,0.09,-0.01,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,20000,1000,0.05,0.05,0.05,0.05,-0.04,1
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,70000,2800,0.04,0.04,0.04,0.04,-0.01,1
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
