105/11/10,172000,165860,1.00,1.01,0.94,0.98,-0.03,5
105/11/11,111000,97980,0.94,0.94,0.88,0.88,-0.10,3
105/11/14,433000,384310,0.87,0.89,0.87,0.89,+0.01,8
105/11/15,54000,42960,0.83,0.83,0.77,0.79,-0.10,4
105/11/16,220000,173850,0.76,0.82,0.76,0.82,+0.03,5
105/11/17,172000,129550,0.74,0.78,0.74,0.77,-0.05,5
105/11/18,65000,52650,0.81,0.81,0.81,0.81,+0.04,2
105/11/21,0,0,---,---,---,---,---,0
105/11/22,205000,149750,0.75,0.75,0.73,0.73,-0.05,2
105/11/23,496000,368960,0.75,0.75,0.71,0.73,0.00,7
105/11/24,14000,10640,0.76,0.76,0.76,0.76,+0.03,2
105/11/25,456000,297460,0.68,0.68,0.60,0.60,-0.16,9
105/11/28,376000,216580,0.59,0.59,0.56,0.56,-0.04,7
105/11/29,200000,115200,0.58,0.59,0.57,0.57,+0.01,3
105/11/30,10000,5900,0.59,0.59,0.59,0.59,+0.02,1
105/12/01,366000,229890,0.61,0.65,0.61,0.62,+0.03,11
105/12/02,200000,127000,0.64,0.64,0.63,0.63,+0.01,2
105/12/05,220000,136800,0.64,0.64,0.62,0.62,-0.01,2
105/12/06,20000,13150,0.65,0.67,0.65,0.66,+0.04,3
105/12/07,15000,9500,0.64,0.64,0.63,0.63,-0.03,2
105/12/08,180000,105700,0.61,0.61,0.58,0.58,-0.05,5
105/12/09,0,0,---,---,---,---,---,0
105/12/12,112000,69550,0.61,0.64,0.61,0.64,+0.05,4
105/12/13,2000,1250,0.63,0.63,0.62,0.62,-0.02,2
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,10000,5200,0.52,0.52,0.52,0.52,-0.05,1
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,0,0,---,---,---,---,---,0
105/12/23,0,0,---,---,---,---,---,0
105/12/26,0,0,---,---,---,---,---,0
105/12/27,0,0,---,---,---,---,---,0
105/12/28,0,0,---,---,---,---,---,0
