105/08/24,245000,341010,1.41,1.41,1.38,1.40,-0.07,8
105/08/25,240000,333900,1.39,1.40,1.38,1.40,0.00,5
105/08/26,210000,292800,1.38,1.40,1.38,1.40,0.00,4
105/08/29,345000,510170,1.45,1.49,1.45,1.47,+0.07,6
105/08/30,514000,744760,1.44,1.47,1.43,1.47,0.00,13
105/08/31,372000,559250,1.49,1.51,1.49,1.51,+0.04,8
105/09/01,411000,586610,1.45,1.46,1.40,1.41,-0.10,10
105/09/02,840000,1271420,1.49,1.55,1.49,1.55,+0.14,20
105/09/05,1414000,2181920,1.49,1.63,1.47,1.57,+0.02,29
105/09/06,372000,549500,1.51,1.52,1.35,1.38,-0.19,16
105/09/07,456000,631880,1.43,1.43,1.38,1.39,+0.01,5
105/09/08,207000,281160,1.42,1.42,1.32,1.34,-0.05,5
105/09/09,281000,389250,1.38,1.39,1.35,1.39,+0.05,9
105/09/10,1062000,1721410,1.60,1.68,1.57,1.67,+0.28,24
105/09/12,977000,1661290,1.72,1.73,1.65,1.71,+0.04,28
105/09/13,1137000,2049910,1.61,2.02,1.61,2.01,+0.30,34
105/09/14,1453000,3003490,2.02,2.28,1.90,2.27,+0.26,69
105/09/19,248000,558930,2.21,2.28,2.19,2.19,-0.08,11
105/09/20,11000,24690,2.24,2.29,2.24,2.29,+0.10,2
105/09/21,37000,88830,2.38,2.42,2.38,2.42,+0.13,7
105/09/22,11000,30270,2.75,2.77,2.75,2.77,+0.35,2
105/09/23,13000,37310,2.87,2.87,2.87,2.87,+0.10,5
105/09/26,7000,18340,2.62,2.62,2.62,2.62,-0.25,1
105/09/29,2000,5180,2.59,2.59,2.59,2.59,-0.03,1
105/09/30,2000,4820,2.41,2.41,2.41,2.41,-0.18,1
105/10/03,30000,70500,2.35,2.35,2.35,2.35,-0.06,1
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
