105/08/24,370000,470740,1.27,1.29,1.27,1.27,-0.05,7
105/08/25,215000,247570,1.15,1.17,1.15,1.17,-0.10,2
105/08/26,31000,36270,1.17,1.17,1.17,1.17,0.00,1
105/08/29,0,0,---,---,---,---,---,0
105/08/30,10000,11000,1.10,1.10,1.10,1.10,-0.02,1
105/08/31,10000,10600,1.06,1.06,1.06,1.06,-0.04,1
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,307000,363670,1.20,1.20,1.17,1.17,+0.08,4
105/09/06,292000,332280,1.14,1.14,1.08,1.08,-0.09,3
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,25000,21500,0.86,0.86,0.86,0.86,-0.07,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
