105/08/24,326000,465850,1.50,1.50,1.35,1.35,-0.16,27
105/08/25,817000,922960,1.23,1.25,1.10,1.13,-0.22,37
105/08/26,467000,424680,0.84,0.94,0.82,0.90,-0.23,38
105/08/29,485000,459210,0.97,0.98,0.88,0.91,+0.01,21
105/08/30,97000,78740,0.83,0.83,0.78,0.82,-0.09,17
105/08/31,437000,367370,0.82,0.87,0.82,0.83,+0.01,11
105/09/01,344000,276400,0.81,0.81,0.80,0.80,-0.03,9
105/09/02,221000,167890,0.76,0.76,0.75,0.75,-0.05,3
105/09/05,273000,175280,0.71,0.71,0.61,0.68,-0.07,21
105/09/06,1407000,1119700,0.72,0.88,0.71,0.88,+0.20,34
105/09/07,1323000,1048730,0.82,0.82,0.77,0.77,-0.11,55
105/09/08,332000,258300,0.74,0.78,0.74,0.78,+0.01,9
105/09/09,351000,253530,0.71,0.73,0.70,0.70,-0.08,12
105/09/10,54000,31100,0.63,0.63,0.54,0.54,-0.16,14
105/09/12,47000,26110,0.56,0.56,0.51,0.51,-0.03,7
105/09/13,195000,91550,0.53,0.55,0.40,0.45,-0.06,23
105/09/14,155000,62880,0.42,0.42,0.38,0.39,-0.06,12
105/09/19,176000,78010,0.42,0.47,0.42,0.47,+0.08,16
105/09/20,1293000,764700,0.50,0.64,0.50,0.63,+0.16,44
105/09/21,1523000,962190,0.66,0.67,0.59,0.64,+0.01,28
105/09/22,279000,190080,0.69,0.70,0.68,0.69,+0.05,10
105/09/23,193000,141420,0.70,0.84,0.70,0.78,+0.09,14
105/09/26,431000,343300,0.80,0.83,0.79,0.80,+0.02,14
105/09/29,273000,208300,0.78,0.79,0.74,0.76,-0.04,18
105/09/30,378000,236040,0.64,0.64,0.62,0.63,-0.13,10
105/10/03,461000,280800,0.62,0.63,0.53,0.53,-0.10,19
105/10/04,211000,92280,0.49,0.49,0.43,0.43,-0.10,15
105/10/05,271000,113540,0.34,0.48,0.34,0.46,+0.03,20
105/10/06,28000,13430,0.46,0.49,0.46,0.48,+0.02,4
105/10/07,20000,8400,0.42,0.42,0.42,0.42,-0.06,3
105/10/11,0,0,---,---,---,---,---,0
105/10/12,15000,6450,0.43,0.43,0.43,0.43,+0.01,1
105/10/13,75000,29250,0.39,0.39,0.39,0.39,-0.04,3
105/10/14,60000,18300,0.32,0.32,0.30,0.31,-0.08,13
105/10/17,0,0,---,---,---,---,---,0
105/10/18,5000,1550,0.31,0.31,0.31,0.31,0.00,1
105/10/19,0,0,---,---,---,---,---,0
105/10/20,61000,15260,0.26,0.26,0.25,0.25,-0.05,2
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,32000,6460,0.19,0.23,0.19,0.23,+0.08,4
105/10/26,22000,5500,0.25,0.25,0.25,0.25,+0.02,1
105/10/27,22000,4620,0.21,0.21,0.21,0.21,-0.04,1
105/10/28,5000,900,0.18,0.18,0.18,0.18,-0.03,1
105/10/31,0,0,---,---,---,---,---,0
105/11/01,10000,1200,0.12,0.12,0.12,0.12,-0.05,1
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,1000,20,0.02,0.02,0.02,0.02,-0.04,1
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,2000,50,0.02,0.03,0.02,0.03,+0.01,2
105/11/16,1000,30,0.03,0.03,0.03,0.03,0.00,1
105/11/17,0,0,---,---,---,---,---,0
