105/08/24,271000,217420,0.85,0.85,0.77,0.77,-0.13,8
105/08/25,50000,30050,0.65,0.65,0.58,0.61,-0.16,4
105/08/26,205000,83100,0.42,0.42,0.40,0.42,-0.19,5
105/08/29,0,0,---,---,---,---,---,0
105/08/30,97000,33830,0.33,0.36,0.33,0.36,-0.06,5
105/08/31,30000,10500,0.37,0.37,0.34,0.34,-0.02,2
105/09/01,200000,68000,0.34,0.34,0.34,0.34,0.00,1
105/09/02,35000,9800,0.28,0.28,0.28,0.28,-0.06,2
105/09/05,0,0,---,---,---,---,---,0
105/09/06,200000,78000,0.39,0.39,0.39,0.39,+0.12,1
105/09/07,5000,1550,0.31,0.31,0.31,0.31,-0.08,1
105/09/08,50000,15000,0.30,0.30,0.30,0.30,-0.01,1
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,50000,9000,0.18,0.18,0.18,0.18,-0.07,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,10000,1200,0.12,0.12,0.12,0.12,-0.01,1
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,100000,22000,0.22,0.22,0.22,0.22,+0.02,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,55000,15350,0.28,0.28,0.27,0.27,+0.02,5
105/09/29,0,0,---,---,---,---,---,0
105/09/30,50000,8500,0.17,0.17,0.17,0.17,-0.04,1
105/10/03,95000,13450,0.16,0.16,0.13,0.13,-0.04,4
105/10/04,80000,7200,0.09,0.09,0.09,0.09,-0.04,3
105/10/05,0,0,---,---,---,---,---,0
105/10/06,80000,8000,0.10,0.10,0.10,0.10,+0.01,2
105/10/07,0,0,---,---,---,---,---,0
105/10/11,20000,1600,0.09,0.09,0.07,0.07,-0.02,2
105/10/12,10000,800,0.08,0.08,0.08,0.08,+0.01,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,60000,600,0.01,0.01,0.01,0.01,-0.01,1
105/10/26,80000,800,0.01,0.01,0.01,0.01,0.00,1
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
105/12/12,0,0,---,---,---,---,---,0
