105/10/11,25000,14750,0.60,0.60,0.55,0.55,-0.31,2
105/10/12,0,0,---,---,---,---,---,0
105/10/13,220000,114400,0.53,0.53,0.51,0.52,+0.01,3
105/10/14,80000,30800,0.39,0.39,0.38,0.38,-0.14,4
105/10/17,113000,45200,0.40,0.40,0.40,0.40,+0.02,1
105/10/18,113000,44070,0.39,0.39,0.39,0.39,-0.01,1
105/10/19,10000,3800,0.38,0.38,0.38,0.38,-0.01,1
105/10/20,0,0,---,---,---,---,---,0
105/10/21,50000,17000,0.34,0.34,0.34,0.34,-0.02,1
105/10/24,125000,45050,0.35,0.37,0.35,0.36,+0.02,4
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,30000,5700,0.19,0.19,0.19,0.19,-0.01,1
105/11/03,20000,3400,0.17,0.17,0.17,0.17,-0.02,1
105/11/04,0,0,---,---,---,---,---,0
105/11/07,10000,1200,0.12,0.12,0.12,0.12,-0.06,1
105/11/08,10000,1000,0.10,0.10,0.10,0.10,-0.02,1
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,10000,600,0.06,0.06,0.06,0.06,-0.01,1
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,15000,1350,0.09,0.09,0.09,0.09,+0.01,2
105/11/24,113000,10050,0.09,0.09,0.08,0.08,-0.01,3
105/11/25,100000,8000,0.08,0.08,0.08,0.08,0.00,1
105/11/28,200000,18000,0.09,0.09,0.09,0.09,+0.01,1
105/11/29,10000,800,0.08,0.08,0.08,0.08,-0.01,1
105/11/30,150000,13300,0.09,0.09,0.08,0.08,0.00,2
105/12/01,38000,3040,0.08,0.08,0.08,0.08,0.00,2
105/12/02,0,0,---,---,---,---,---,0
105/12/05,80000,5600,0.07,0.07,0.07,0.07,-0.01,2
105/12/06,90000,6300,0.07,0.07,0.07,0.07,0.00,1
105/12/07,150000,12000,0.08,0.08,0.08,0.08,+0.01,1
105/12/08,135000,16700,0.12,0.13,0.12,0.12,+0.04,5
105/12/09,80000,8700,0.11,0.11,0.10,0.11,-0.01,5
105/12/12,140000,10900,0.09,0.09,0.06,0.06,-0.05,7
105/12/13,140000,9300,0.07,0.07,0.06,0.07,+0.01,4
105/12/14,50000,4000,0.08,0.08,0.08,0.08,+0.01,1
105/12/15,50000,4000,0.08,0.08,0.08,0.08,0.00,1
105/12/16,10000,700,0.07,0.07,0.07,0.07,-0.01,1
105/12/19,110000,6900,0.07,0.07,0.06,0.06,-0.01,5
105/12/20,50000,2500,0.05,0.05,0.05,0.05,-0.01,1
105/12/21,0,0,---,---,---,---,---,0
