105/08/24,158000,217530,1.33,1.51,1.30,1.51,+0.34,15
105/08/25,466000,694700,1.38,1.70,1.35,1.62,+0.11,22
105/08/26,426000,702840,1.60,1.78,1.53,1.67,+0.05,18
105/08/29,537000,833950,1.59,1.62,1.54,1.55,-0.12,9
105/08/30,552000,921710,1.59,1.76,1.59,1.69,+0.14,14
105/08/31,638000,1039420,1.67,1.67,1.59,1.59,-0.10,14
105/09/01,5000,7500,1.50,1.50,1.50,1.50,-0.09,1
105/09/02,12000,16300,1.42,1.42,1.28,1.28,-0.22,4
105/09/05,0,0,---,---,---,---,---,0
105/09/06,175000,260590,1.46,1.57,1.45,1.45,+0.16,7
105/09/07,178000,257620,1.44,1.46,1.44,1.45,0.00,6
105/09/08,170000,279990,1.53,1.85,1.49,1.78,+0.33,12
105/09/09,156000,277260,1.74,2.12,1.73,2.12,+0.34,7
105/09/10,44000,87280,1.90,2.14,1.86,1.96,-0.16,8
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,1000,1970,1.97,1.97,1.97,1.97,+0.13,1
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,5000,11050,2.21,2.21,2.21,2.21,+0.26,1
105/09/26,5000,12500,2.50,2.50,2.50,2.50,+0.29,1
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,32000,97440,3.03,3.06,3.03,3.06,+0.38,2
105/10/04,32000,101440,3.17,3.17,3.17,3.17,+0.11,1
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,25000,56000,2.24,2.24,2.24,2.24,-0.02,1
105/10/28,25000,58500,2.34,2.34,2.34,2.34,+0.10,1
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,130000,140400,1.08,1.08,1.08,1.08,-0.15,1
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,5000,6850,1.37,1.37,1.37,1.37,+0.06,1
105/11/18,5000,7600,1.52,1.52,1.52,1.52,+0.15,1
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
105/12/12,0,0,---,---,---,---,---,0
105/12/13,0,0,---,---,---,---,---,0
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,0,0,---,---,---,---,---,0
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,0,0,---,---,---,---,---,0
105/12/23,0,0,---,---,---,---,---,0
105/12/26,0,0,---,---,---,---,---,0
