105/08/24,5000,3300,0.66,0.66,0.66,0.66,-0.03,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,5000,2900,0.58,0.58,0.58,0.58,-0.06,1
105/08/29,5000,3050,0.61,0.61,0.61,0.61,+0.03,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,28000,12600,0.45,0.45,0.45,0.45,-0.01,3
105/09/09,20000,8500,0.43,0.43,0.42,0.42,-0.03,2
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,6000,1380,0.23,0.23,0.23,0.23,+0.01,1
105/09/20,6000,1620,0.27,0.27,0.27,0.27,+0.04,1
105/09/21,0,0,---,---,---,---,---,0
105/09/22,24000,6480,0.28,0.28,0.26,0.26,-0.02,2
105/09/23,0,0,---,---,---,---,---,0
105/09/26,12000,3240,0.27,0.27,0.27,0.27,+0.01,1
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
