105/08/24,1562000,2123700,1.35,1.41,1.29,1.29,+0.03,66
105/08/25,806000,1144150,1.40,1.48,1.35,1.41,+0.12,27
105/08/26,635000,864190,1.41,1.41,1.31,1.31,-0.10,12
105/08/29,590000,775100,1.32,1.34,1.30,1.31,0.00,10
105/08/30,1182000,1487200,1.32,1.32,1.21,1.23,-0.08,24
105/08/31,982000,1250720,1.26,1.30,1.22,1.24,+0.01,21
105/09/01,645000,792360,1.23,1.24,1.21,1.21,-0.03,11
105/09/02,126000,126910,1.08,1.08,0.96,0.96,-0.25,7
105/09/05,40000,39400,0.96,1.01,0.96,1.01,+0.05,2
105/09/06,121000,118170,0.98,0.98,0.96,0.97,-0.04,3
105/09/07,100000,97000,0.97,0.97,0.97,0.97,0.00,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,25000,20200,0.81,0.81,0.80,0.80,-0.08,2
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,1147000,711140,0.62,0.62,0.62,0.62,+0.06,8
105/09/21,1167000,636170,0.55,0.55,0.53,0.54,-0.08,9
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,2400000,810000,0.30,0.36,0.30,0.35,+0.12,10
105/10/24,2500000,817990,0.35,0.35,0.31,0.31,-0.04,12
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,1000,250,0.25,0.25,0.25,0.25,+0.01,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,101000,22220,0.22,0.22,0.22,0.22,-0.01,1
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,300000,42000,0.14,0.14,0.14,0.14,+0.01,1
105/11/11,300000,36000,0.12,0.12,0.12,0.12,-0.02,1
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
