105/08/24,171000,398440,2.31,2.72,2.25,2.72,+0.46,7
105/08/25,56000,142920,2.57,2.62,2.47,2.57,-0.15,6
105/08/26,26000,70020,2.77,2.77,2.60,2.60,+0.03,3
105/08/29,10000,24800,2.48,2.48,2.48,2.48,-0.12,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,21000,54790,2.64,2.64,2.58,2.59,-0.01,3
105/09/06,20000,50600,2.53,2.53,2.53,2.53,-0.06,1
105/09/07,12000,33020,2.75,2.76,2.75,2.76,+0.23,3
105/09/08,25000,65600,2.68,2.68,2.58,2.60,-0.16,3
105/09/09,10000,23900,2.39,2.39,2.39,2.39,-0.21,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,10000,23550,2.28,2.43,2.28,2.43,+0.19,2
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,10000,23800,2.40,2.40,2.36,2.36,+0.02,2
105/09/20,222000,529160,2.38,2.39,2.36,2.38,+0.02,23
105/09/21,233000,584670,2.61,2.61,2.49,2.53,+0.15,8
105/09/22,76000,191990,2.49,2.61,2.49,2.61,+0.08,5
105/09/23,15000,36240,2.42,2.42,2.39,2.39,-0.22,2
105/09/26,40000,112750,2.58,2.93,2.58,2.93,+0.54,6
105/09/29,2000,5440,2.72,2.72,2.72,2.72,-0.21,1
105/09/30,3000,8670,2.89,2.89,2.89,2.89,+0.17,1
105/10/03,28000,85760,2.80,3.15,2.80,3.14,+0.25,6
105/10/04,7000,21790,3.01,3.19,3.01,3.19,+0.05,3
105/10/05,1000,3270,3.27,3.27,3.27,3.27,+0.08,1
105/10/06,0,0,---,---,---,---,---,0
105/10/07,1000,3050,3.05,3.05,3.05,3.05,-0.22,1
105/10/11,5000,12300,2.46,2.46,2.46,2.46,-0.59,1
105/10/12,1000,2820,2.82,2.82,2.82,2.82,+0.36,1
105/10/13,10000,28400,2.84,2.84,2.84,2.84,+0.02,1
105/10/14,0,0,---,---,---,---,---,0
105/10/17,25000,84250,3.33,3.63,3.33,3.63,+0.66,6
105/10/18,1000,3850,3.85,3.85,3.85,3.85,+0.22,1
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,20000,31600,1.57,1.59,1.57,1.59,-0.61,2
105/11/18,32000,62900,1.92,2.07,1.90,2.07,+0.48,3
105/11/21,10000,19800,1.98,1.98,1.98,1.98,-0.09,1
105/11/22,0,0,---,---,---,---,---,0
