105/08/24,60000,71600,1.15,1.24,1.15,1.24,+0.08,6
105/08/25,50000,62600,1.23,1.27,1.23,1.27,+0.03,4
105/08/26,45000,53600,1.19,1.20,1.19,1.19,-0.08,3
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,10000,10300,1.03,1.03,1.03,1.03,-0.09,1
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,2000,2380,1.19,1.19,1.19,1.19,+0.14,1
105/09/08,2000,2220,1.11,1.11,1.11,1.11,-0.08,1
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,22000,21560,0.98,0.98,0.98,0.98,-0.07,2
105/09/19,79000,79730,0.99,1.01,0.99,1.01,+0.03,2
105/09/20,0,0,---,---,---,---,---,0
105/09/21,87000,86970,0.99,1.00,0.99,1.00,+0.01,3
105/09/22,134000,139720,1.02,1.05,1.00,1.03,+0.03,10
105/09/23,264000,267300,1.02,1.02,1.00,1.00,-0.03,6
105/09/26,10000,9600,0.96,0.96,0.96,0.96,-0.04,2
105/09/29,19000,17820,0.94,0.94,0.92,0.92,-0.04,3
105/09/30,7000,6510,0.93,0.93,0.93,0.93,+0.01,1
105/10/03,25000,23350,0.93,0.94,0.93,0.94,+0.01,2
105/10/04,60000,58100,0.93,0.98,0.93,0.98,+0.04,6
105/10/05,47000,44910,0.97,0.97,0.93,0.97,-0.01,5
105/10/06,182000,184710,0.97,1.03,0.97,1.02,+0.05,17
105/10/07,156000,157960,1.02,1.02,0.98,0.98,-0.04,13
105/10/11,51000,36660,0.82,0.82,0.65,0.76,-0.22,6
105/10/12,30000,23900,0.76,0.82,0.76,0.82,+0.06,3
105/10/13,30000,23500,0.80,0.80,0.76,0.76,-0.06,3
105/10/14,10000,8200,0.82,0.82,0.82,0.82,+0.06,1
105/10/17,50000,37200,0.73,0.77,0.73,0.77,-0.05,5
105/10/18,83000,66550,0.79,0.83,0.79,0.83,+0.06,8
105/10/19,53000,42470,0.79,0.82,0.79,0.80,-0.03,5
105/10/20,30000,21900,0.73,0.73,0.73,0.73,-0.07,1
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,47000,33870,0.71,0.73,0.71,0.72,+0.01,6
105/10/26,47000,32160,0.69,0.69,0.68,0.68,-0.04,2
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,10000,5900,0.59,0.59,0.59,0.59,-0.05,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,20000,9200,0.46,0.46,0.46,0.46,0.00,2
105/11/04,20000,9200,0.46,0.46,0.46,0.46,0.00,1
105/11/07,0,0,---,---,---,---,---,0
105/11/08,10000,4200,0.42,0.42,0.42,0.42,-0.04,1
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,30000,9800,0.32,0.33,0.32,0.33,+0.06,3
105/11/21,30000,9800,0.32,0.33,0.32,0.33,0.00,2
105/11/22,25000,8000,0.32,0.32,0.32,0.32,-0.01,2
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,4000,1240,0.31,0.31,0.31,0.31,+0.03,1
