105/08/24,1000,780,0.78,0.78,0.78,0.78,-0.02,1
105/08/25,15000,11540,0.77,0.77,0.76,0.76,-0.02,2
105/08/26,6000,4420,0.72,0.74,0.72,0.74,-0.02,2
105/08/29,30000,23340,0.78,0.78,0.76,0.76,+0.02,4
105/08/30,4000,2940,0.74,0.74,0.73,0.73,-0.03,2
105/08/31,4000,2830,0.71,0.71,0.70,0.70,-0.03,3
105/09/01,268000,197730,0.73,0.75,0.70,0.72,+0.02,14
105/09/02,317000,227400,0.70,0.73,0.70,0.70,-0.02,8
105/09/05,407000,295000,0.71,0.73,0.70,0.72,+0.02,8
105/09/06,317000,228240,0.73,0.73,0.68,0.68,-0.04,6
105/09/07,17000,11060,0.66,0.66,0.64,0.64,-0.04,3
105/09/08,200000,129000,0.65,0.65,0.64,0.64,0.00,3
105/09/09,92000,57940,0.63,0.63,0.62,0.62,-0.02,2
105/09/10,116000,61830,0.56,0.56,0.53,0.54,-0.08,8
105/09/12,70000,35720,0.53,0.53,0.50,0.50,-0.04,6
105/09/13,12000,5100,0.43,0.43,0.42,0.42,-0.08,4
105/09/14,64000,26230,0.41,0.41,0.40,0.40,-0.02,3
105/09/19,3000,1260,0.42,0.42,0.42,0.42,+0.02,1
105/09/20,169000,76290,0.44,0.50,0.44,0.49,+0.07,7
105/09/21,1000,540,0.54,0.54,0.54,0.54,+0.05,1
105/09/22,0,0,---,---,---,---,---,0
105/09/23,1000,520,0.52,0.52,0.52,0.52,+0.01,1
105/09/26,80000,44800,0.56,0.56,0.56,0.56,+0.04,1
105/09/29,2000,1120,0.56,0.56,0.56,0.56,0.00,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,22000,12000,0.50,0.55,0.50,0.55,+0.05,2
105/10/04,0,0,---,---,---,---,---,0
105/10/05,4000,2000,0.50,0.50,0.50,0.50,0.00,2
105/10/06,0,0,---,---,---,---,---,0
105/10/07,4000,1760,0.44,0.44,0.44,0.44,-0.01,1
105/10/11,0,0,---,---,---,---,---,0
105/10/12,30000,11700,0.39,0.39,0.39,0.39,+0.01,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,50000,15500,0.31,0.31,0.31,0.31,-0.06,1
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
105/12/12,0,0,---,---,---,---,---,0
105/12/13,0,0,---,---,---,---,---,0
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,0,0,---,---,---,---,---,0
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,0,0,---,---,---,---,---,0
105/12/23,0,0,---,---,---,---,---,0
105/12/26,0,0,---,---,---,---,---,0
105/12/27,0,0,---,---,---,---,---,0
