105/08/24,10000,3400,0.34,0.34,0.34,0.34,+0.04,1
105/08/25,427000,133350,0.30,0.32,0.30,0.32,-0.02,5
105/08/26,347000,104100,0.30,0.30,0.30,0.30,-0.02,2
105/08/29,100000,30000,0.30,0.30,0.30,0.30,0.00,1
105/08/30,30000,8400,0.28,0.28,0.28,0.28,-0.02,1
105/08/31,165000,41250,0.25,0.25,0.25,0.25,-0.03,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,100000,16000,0.16,0.16,0.16,0.16,0.00,1
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,70000,9100,0.13,0.13,0.13,0.13,0.00,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,275000,28250,0.09,0.11,0.09,0.11,+0.02,2
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,20000,2600,0.13,0.13,0.13,0.13,+0.02,1
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,100000,5000,0.05,0.05,0.05,0.05,-0.02,1
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,10000,300,0.03,0.03,0.03,0.03,-0.01,1
105/11/03,20000,400,0.02,0.02,0.02,0.02,-0.01,2
105/11/04,15000,400,0.02,0.04,0.02,0.04,+0.02,2
105/11/07,10000,200,0.02,0.02,0.02,0.02,-0.02,1
105/11/08,420000,4300,0.01,0.02,0.01,0.02,0.00,43
105/11/09,42000,540,0.01,0.02,0.01,0.01,-0.01,14
105/11/10,0,0,---,---,---,---,---,0
