105/08/24,140000,87710,0.65,0.65,0.62,0.62,0.00,4
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,15000,7500,0.50,0.50,0.50,0.50,-0.02,1
105/08/30,8000,4100,0.51,0.52,0.51,0.52,+0.02,2
105/08/31,6000,2880,0.48,0.48,0.48,0.48,-0.04,1
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,5000,1800,0.36,0.36,0.36,0.36,-0.01,1
105/09/07,10000,4500,0.45,0.45,0.45,0.45,+0.09,1
105/09/08,27000,13300,0.48,0.50,0.48,0.50,+0.05,3
105/09/09,17000,7020,0.42,0.42,0.40,0.40,-0.10,2
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
