105/08/24,75000,118630,1.59,1.59,1.58,1.58,0.00,6
105/08/25,429000,715280,1.60,1.69,1.59,1.69,+0.11,6
105/08/26,0,0,---,---,---,---,---,0
105/08/29,200000,305000,1.55,1.55,1.50,1.50,-0.10,2
105/08/30,748000,1319500,1.64,1.85,1.62,1.80,+0.30,12
105/08/31,144000,253840,1.76,1.77,1.71,1.77,-0.03,4
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,20000,35600,1.78,1.78,1.78,1.78,-0.33,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,100000,204000,2.04,2.04,2.04,2.04,-0.09,1
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,172000,429680,2.44,2.54,2.44,2.54,+0.38,3
105/09/26,103000,253960,2.32,2.47,2.32,2.47,-0.07,2
105/09/29,69000,164220,2.38,2.38,2.38,2.38,-0.09,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
