105/08/24,15000,22620,1.51,1.51,1.50,1.50,-0.06,3
105/08/25,10000,14800,1.48,1.48,1.48,1.48,-0.02,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,68000,94520,1.39,1.39,1.39,1.39,-0.05,2
105/08/30,149000,205620,1.38,1.38,1.38,1.38,-0.01,2
105/08/31,148000,201280,1.36,1.36,1.36,1.36,-0.02,3
105/09/01,64000,80190,1.26,1.26,1.25,1.25,-0.11,3
105/09/02,0,0,---,---,---,---,---,0
105/09/05,518000,481740,0.93,0.93,0.93,0.93,-0.24,6
105/09/06,746000,662180,0.90,0.93,0.88,0.88,-0.05,10
105/09/07,686000,600760,0.83,0.88,0.83,0.88,0.00,9
105/09/08,60000,48000,0.80,0.80,0.80,0.80,-0.08,3
105/09/09,191000,165080,0.85,0.88,0.85,0.88,+0.08,2
105/09/10,709000,661730,0.91,0.94,0.90,0.94,+0.06,9
105/09/12,0,0,---,---,---,---,---,0
105/09/13,2000,1720,0.86,0.86,0.86,0.86,0.00,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,30000,21600,0.72,0.72,0.72,0.72,+0.04,2
105/09/29,75000,55200,0.69,0.79,0.69,0.79,+0.07,5
105/09/30,45000,35750,0.80,0.80,0.79,0.79,0.00,4
105/10/03,0,0,---,---,---,---,---,0
105/10/04,2000,1320,0.66,0.66,0.66,0.66,-0.05,1
105/10/05,0,0,---,---,---,---,---,0
105/10/06,30000,19200,0.64,0.64,0.64,0.64,+0.03,2
105/10/07,30000,18300,0.61,0.61,0.61,0.61,-0.03,1
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,25000,12900,0.51,0.52,0.51,0.52,0.00,2
105/10/18,25000,11600,0.47,0.47,0.46,0.46,-0.06,2
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
