105/08/24,650000,613480,0.93,0.96,0.91,0.93,+0.10,38
105/08/25,600000,527290,0.88,0.92,0.87,0.88,-0.05,28
105/08/26,64000,55590,0.88,0.91,0.85,0.85,-0.03,7
105/08/29,23000,17150,0.73,0.75,0.73,0.75,-0.10,5
105/08/30,4000,3010,0.74,0.78,0.74,0.75,0.00,3
105/08/31,19000,12920,0.68,0.68,0.68,0.68,-0.07,1
105/09/01,195000,142410,0.73,0.75,0.73,0.75,+0.07,6
105/09/02,199000,134280,0.68,0.68,0.66,0.66,-0.09,4
105/09/05,4000,2360,0.59,0.59,0.59,0.59,-0.07,1
105/09/06,251000,165840,0.64,0.72,0.64,0.71,+0.12,11
105/09/07,236000,153530,0.65,0.68,0.65,0.67,-0.04,6
105/09/08,57000,37720,0.64,0.72,0.64,0.68,+0.01,7
105/09/09,32000,20200,0.63,0.67,0.63,0.67,-0.01,2
105/09/10,1000,430,0.43,0.43,0.43,0.43,-0.24,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,25000,5500,0.22,0.22,0.22,0.22,-0.16,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
