105/09/29,0,0,--,--,--,--,,0
105/09/30,0,0,--,--,--,--,,0
105/10/03,0,0,--,--,--,--,,0
105/10/04,0,0,--,--,--,--,,0
105/10/05,0,0,--,--,--,--,,0
105/10/06,0,0,--,--,--,--,,0
105/10/07,0,0,--,--,--,--,,0
105/10/11,0,0,--,--,--,--,,0
105/10/12,0,0,--,--,--,--,,0
105/10/13,0,0,--,--,--,--,,0
105/10/14,7000,13940,1.99,2.00,1.99,2.00,X,2
105/10/17,35000,71210,2.05,2.09,2.00,2.00,,5
105/10/18,16000,31830,1.99,1.99,1.98,1.98,-0.02,2
105/10/19,16000,30350,1.90,1.91,1.89,1.91,-0.07,3
105/10/20,33000,61710,1.87,1.87,1.87,1.87,-0.04,6
105/10/21,61000,113180,1.84,1.88,1.84,1.87,,4
105/10/24,40000,73580,1.83,1.85,1.83,1.84,-0.03,4
105/10/25,10000,17960,1.82,1.82,1.76,1.76,-0.08,2
105/10/26,30000,54000,1.80,1.80,1.80,1.80,0.04,2
105/10/27,0,0,--,--,--,--,,0
105/10/28,50000,92460,1.84,1.87,1.84,1.87,X,6
105/10/31,29000,53820,1.92,1.92,1.84,1.84,-0.03,5
105/11/01,45000,83700,1.86,1.86,1.86,1.86,0.02,3
105/11/02,10000,19700,1.97,1.97,1.97,1.97,0.11,2
105/11/03,7000,14220,2.04,2.04,2.03,2.03,0.06,6
105/11/04,0,0,--,--,--,--,,0
105/11/07,62000,122980,1.99,1.99,1.93,1.94,X,4
105/11/08,267000,513690,1.93,1.94,1.91,1.91,-0.03,11
105/11/09,542000,1176560,2.06,2.22,2.06,2.21,0.30,13
105/11/10,250000,484950,1.95,1.96,1.93,1.93,-0.28,5
105/11/11,27000,57200,2.10,2.16,2.10,2.16,0.23,6
105/11/14,3000,6550,2.15,2.20,2.15,2.20,0.04,2
105/11/15,0,0,--,--,--,--,,0
105/11/16,5000,10700,2.14,2.14,2.14,2.14,X,1
105/11/17,16000,34610,2.17,2.17,2.16,2.16,0.02,2
105/11/18,6000,12720,2.14,2.14,2.10,2.10,-0.06,2
105/11/21,5000,10350,2.07,2.07,2.07,2.07,-0.03,1
105/11/22,147000,285630,2.00,2.00,1.94,1.94,-0.13,5
105/11/23,20000,38200,1.91,1.91,1.91,1.91,-0.03,1
105/11/24,0,0,--,--,--,--,,0
105/11/25,0,0,--,--,--,--,,0
105/11/28,1000,1830,1.83,1.83,1.83,1.83,X,1
105/11/29,11000,20460,1.86,1.86,1.86,1.86,0.03,1
105/11/30,0,0,--,--,--,--,,0
105/12/01,10000,18100,1.81,1.81,1.81,1.81,X,1
105/12/02,43000,81830,1.91,1.91,1.90,1.90,0.09,3
105/12/05,20000,38200,1.91,1.91,1.91,1.91,0.01,1
105/12/06,15000,26800,1.78,1.79,1.78,1.79,-0.12,2
105/12/07,10000,17900,1.79,1.79,1.79,1.79,,1
105/12/08,111000,191010,1.73,1.73,1.71,1.71,-0.08,3
105/12/09,15000,25050,1.67,1.67,1.67,1.67,-0.04,2
