105/08/24,90000,35500,0.40,0.40,0.38,0.38,-0.03,7
105/08/25,62000,22840,0.38,0.38,0.35,0.37,-0.01,7
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,72000,21920,0.31,0.31,0.30,0.30,+0.02,3
105/09/02,80000,22650,0.29,0.29,0.27,0.27,-0.03,4
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,30000,6300,0.21,0.21,0.21,0.21,-0.01,2
105/09/08,0,0,---,---,---,---,---,0
105/09/09,20000,4000,0.20,0.20,0.20,0.20,-0.01,1
105/09/10,200000,34000,0.17,0.17,0.17,0.17,-0.03,4
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
