105/08/24,77000,20790,0.27,0.27,0.27,0.27,+0.05,2
105/08/25,70000,17500,0.25,0.25,0.25,0.25,-0.02,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,7000,1540,0.22,0.22,0.22,0.22,-0.04,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,60000,11400,0.19,0.19,0.19,0.19,-0.02,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
