105/08/24,641000,948330,1.44,1.66,1.36,1.61,+0.19,47
105/08/25,545000,869870,1.60,1.69,1.54,1.59,-0.02,35
105/08/26,303000,522450,1.80,1.80,1.66,1.66,+0.07,18
105/08/29,6000,9240,1.54,1.54,1.54,1.54,-0.12,2
105/08/30,238000,382580,1.61,1.70,1.59,1.70,+0.16,4
105/08/31,82000,143920,1.76,1.76,1.72,1.72,+0.02,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,80000,127200,1.59,1.59,1.59,1.59,-0.10,1
105/09/05,10000,15800,1.58,1.58,1.58,1.58,-0.01,1
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,150000,236820,1.57,1.63,1.57,1.63,+0.08,2
105/09/23,0,0,---,---,---,---,---,0
105/09/26,10000,16900,1.69,1.69,1.69,1.69,+0.06,1
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
