105/08/24,548000,293600,0.54,0.54,0.52,0.52,-0.06,3
105/08/25,116000,62640,0.54,0.54,0.54,0.54,+0.02,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,499000,264470,0.53,0.53,0.53,0.53,+0.01,3
105/08/30,499000,244510,0.49,0.49,0.49,0.49,-0.04,10
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,720000,327560,0.45,0.46,0.45,0.46,-0.02,2
105/09/06,730000,264670,0.43,0.43,0.35,0.37,-0.09,8
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,6000,2160,0.36,0.36,0.36,0.36,-0.01,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
