105/08/24,150000,127500,0.85,0.85,0.85,0.85,-0.03,2
105/08/25,29000,21670,0.73,0.75,0.73,0.75,-0.10,2
105/08/26,0,0,---,---,---,---,---,0
105/08/29,303000,224460,0.71,0.77,0.71,0.77,+0.02,8
105/08/30,338000,253500,0.75,0.76,0.74,0.76,-0.01,5
105/08/31,187000,132770,0.71,0.71,0.71,0.71,-0.05,2
105/09/01,149000,99830,0.67,0.67,0.67,0.67,-0.04,1
105/09/02,189000,127230,0.67,0.69,0.67,0.68,+0.01,3
105/09/05,152000,86860,0.53,0.60,0.53,0.60,-0.08,3
105/09/06,314000,187640,0.58,0.64,0.58,0.64,+0.04,3
105/09/07,174000,127020,0.73,0.73,0.73,0.73,+0.09,2
105/09/08,308000,191840,0.62,0.63,0.62,0.63,-0.10,4
105/09/09,1082000,660140,0.61,0.62,0.60,0.61,-0.02,13
105/09/10,399000,213710,0.53,0.54,0.53,0.54,-0.07,6
105/09/12,313000,171520,0.55,0.55,0.52,0.52,-0.02,4
105/09/13,202000,110100,0.55,0.55,0.50,0.50,-0.02,2
105/09/14,219000,97160,0.48,0.48,0.44,0.44,-0.06,2
105/09/19,317000,143850,0.45,0.48,0.44,0.48,+0.04,4
105/09/20,174000,85260,0.49,0.49,0.49,0.49,+0.01,1
105/09/21,66000,29700,0.45,0.45,0.45,0.45,-0.04,1
105/09/22,0,0,---,---,---,---,---,0
105/09/23,1293000,733900,0.54,0.58,0.54,0.57,+0.12,7
105/09/26,434000,225970,0.53,0.53,0.51,0.52,-0.05,11
105/09/29,492000,236640,0.49,0.49,0.47,0.48,-0.04,9
105/09/30,329000,143290,0.44,0.44,0.43,0.44,-0.04,6
105/10/03,232000,95340,0.42,0.42,0.38,0.38,-0.06,6
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,105000,42200,0.37,0.41,0.37,0.41,+0.04,3
105/10/07,209000,79420,0.38,0.38,0.38,0.38,-0.03,2
105/10/11,397000,119790,0.34,0.34,0.27,0.27,-0.11,4
105/10/12,177000,42480,0.24,0.24,0.24,0.24,-0.03,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,1537000,410050,0.24,0.29,0.24,0.25,+0.06,13
105/10/26,537000,123130,0.23,0.23,0.22,0.22,-0.03,5
105/10/27,0,0,---,---,---,---,---,0
105/10/28,111000,19980,0.18,0.18,0.18,0.18,-0.04,2
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,1008000,121060,0.13,0.13,0.12,0.12,-0.04,4
105/11/03,0,0,---,---,---,---,---,0
105/11/04,370000,33300,0.09,0.09,0.09,0.09,-0.01,1
105/11/07,1000,90,0.09,0.09,0.09,0.09,0.00,1
105/11/08,0,0,---,---,---,---,---,0
105/11/09,60000,3600,0.06,0.06,0.06,0.06,-0.03,1
105/11/10,20000,1400,0.07,0.07,0.07,0.07,+0.01,1
105/11/11,150000,6000,0.04,0.04,0.04,0.04,-0.03,1
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
