105/08/24,308000,135520,0.44,0.44,0.44,0.44,0.00,2
105/08/25,374000,155000,0.41,0.42,0.41,0.42,-0.02,4
105/08/26,66000,26400,0.40,0.40,0.40,0.40,-0.02,1
105/08/29,346000,130780,0.37,0.39,0.37,0.39,-0.01,3
105/08/30,346000,124530,0.35,0.36,0.35,0.36,-0.03,3
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,416000,141440,0.34,0.34,0.34,0.34,-0.01,6
105/09/06,416000,124800,0.30,0.30,0.30,0.30,-0.04,3
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
