105/08/24,50000,62400,1.24,1.25,1.24,1.25,+0.04,5
105/08/25,58000,64540,1.11,1.13,1.11,1.13,-0.12,2
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,40000,50100,1.22,1.27,1.22,1.26,+0.11,4
105/09/05,1000,1300,1.30,1.30,1.30,1.30,+0.04,1
105/09/06,40000,42800,1.07,1.07,1.07,1.07,-0.23,1
105/09/07,0,0,---,---,---,---,---,0
105/09/08,10000,9500,0.95,0.95,0.95,0.95,-0.03,1
105/09/09,10000,9400,0.94,0.94,0.94,0.94,-0.01,1
105/09/10,121000,119790,0.99,0.99,0.99,0.99,+0.05,1
105/09/12,171000,177120,1.02,1.08,1.02,1.08,+0.09,3
105/09/13,50000,56700,1.08,1.17,1.08,1.17,+0.09,2
105/09/14,0,0,---,---,---,---,---,0
105/09/19,100000,98000,0.98,0.98,0.98,0.98,-0.10,1
105/09/20,135000,126250,0.93,0.95,0.93,0.95,-0.03,5
105/09/21,25000,24300,0.99,0.99,0.96,0.96,+0.01,2
105/09/22,30000,27300,0.91,0.91,0.91,0.91,-0.05,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
