105/08/24,46000,42940,1.01,1.01,0.90,0.90,-0.06,6
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,7000,6090,0.87,0.87,0.87,0.87,-0.01,1
105/08/31,176000,175120,1.05,1.05,0.90,0.90,+0.03,9
105/09/01,9000,7990,0.87,0.93,0.87,0.93,+0.03,4
105/09/02,185000,150940,0.89,0.89,0.80,0.80,-0.13,4
105/09/05,204000,175440,0.86,0.86,0.86,0.86,+0.06,3
105/09/06,253000,215910,0.86,0.86,0.81,0.83,-0.03,5
105/09/07,46000,35480,0.79,0.79,0.77,0.77,-0.06,3
105/09/08,18000,13920,0.77,0.79,0.77,0.79,+0.02,2
105/09/09,0,0,---,---,---,---,---,0
105/09/10,6000,4290,0.71,0.72,0.71,0.72,-0.03,2
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,3000,1620,0.54,0.54,0.54,0.54,-0.14,1
105/09/19,0,0,---,---,---,---,---,0
105/09/20,199000,115420,0.58,0.58,0.58,0.58,+0.02,1
105/09/21,199000,109450,0.55,0.55,0.55,0.55,-0.03,1
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,3000,1380,0.46,0.46,0.46,0.46,-0.04,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
