105/08/24,100000,80500,0.79,0.82,0.79,0.82,0.00,2
105/08/25,50000,40000,0.80,0.80,0.80,0.80,-0.02,2
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,7000,4830,0.69,0.69,0.69,0.69,0.00,1
105/09/05,7000,4410,0.63,0.63,0.63,0.63,-0.06,1
105/09/06,100000,64000,0.63,0.65,0.63,0.65,+0.02,2
105/09/07,100000,62360,0.63,0.63,0.62,0.62,-0.03,5
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,120000,40800,0.34,0.34,0.34,0.34,-0.06,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
