105/08/24,12000,16220,1.35,1.36,1.35,1.36,-0.03,2
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,204000,259970,1.27,1.28,1.27,1.27,+0.03,4
105/08/30,206000,259710,1.26,1.28,1.24,1.24,-0.03,7
105/08/31,19000,25170,1.28,1.33,1.28,1.33,+0.09,2
105/09/01,17000,22100,1.30,1.30,1.30,1.30,-0.03,1
105/09/02,499000,694700,1.30,1.50,1.30,1.50,+0.20,12
105/09/05,272000,408030,1.48,1.51,1.48,1.49,-0.01,4
105/09/06,20000,29200,1.46,1.46,1.46,1.46,-0.03,1
105/09/07,0,0,---,---,---,---,---,0
105/09/08,206000,285960,1.42,1.42,1.34,1.34,-0.12,10
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
