105/10/04,15000,14250,0.95,0.95,0.95,0.95,+0.15,4
105/10/05,326000,288320,0.92,0.92,0.84,0.84,-0.11,11
105/10/06,58000,50270,0.86,0.89,0.81,0.89,+0.05,7
105/10/07,187000,162520,0.87,0.87,0.86,0.86,-0.03,12
105/10/11,169000,127480,0.78,0.78,0.72,0.72,-0.14,12
105/10/12,1308000,983500,0.72,0.81,0.72,0.81,+0.09,20
105/10/13,719000,522640,0.77,0.77,0.71,0.73,-0.08,32
105/10/14,292000,186980,0.69,0.70,0.61,0.62,-0.11,15
105/10/17,100000,62900,0.59,0.64,0.59,0.64,+0.02,4
105/10/18,731000,481820,0.63,0.69,0.62,0.68,+0.04,23
105/10/19,319000,222820,0.72,0.72,0.66,0.66,-0.02,11
105/10/20,315000,195400,0.62,0.64,0.62,0.64,-0.02,5
105/10/21,125000,81670,0.67,0.68,0.65,0.67,+0.03,6
105/10/24,0,0,---,---,---,---,---,0
105/10/25,21000,12480,0.59,0.68,0.59,0.68,+0.01,2
105/10/26,60000,37000,0.64,0.64,0.59,0.59,-0.09,3
105/10/27,0,0,---,---,---,---,---,0
105/10/28,26000,13460,0.52,0.52,0.51,0.51,-0.07,2
105/10/31,0,0,---,---,---,---,---,0
105/11/01,20000,10200,0.51,0.51,0.51,0.51,+0.02,1
105/11/02,90000,34400,0.39,0.39,0.38,0.38,-0.13,3
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,100000,28000,0.28,0.28,0.28,0.28,0.00,1
105/11/17,105000,20350,0.21,0.21,0.19,0.19,-0.09,7
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
105/12/12,0,0,---,---,---,---,---,0
105/12/13,0,0,---,---,---,---,---,0
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,0,0,---,---,---,---,---,0
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,0,0,---,---,---,---,---,0
105/12/23,0,0,---,---,---,---,---,0
