105/08/24,2000,1980,0.99,0.99,0.99,0.99,+0.02,1
105/08/25,481000,502610,1.01,1.06,1.01,1.02,+0.03,13
105/08/26,500000,499330,0.99,1.02,0.97,0.98,-0.04,14
105/08/29,211000,211130,0.97,1.02,0.97,0.97,-0.01,6
105/08/30,145000,140470,0.96,0.98,0.96,0.97,0.00,4
105/08/31,28000,27780,0.96,1.02,0.96,1.02,+0.05,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,15000,12650,0.85,0.85,0.83,0.83,+0.05,2
105/09/07,30000,23400,0.78,0.78,0.78,0.78,-0.05,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,6000,4740,0.79,0.79,0.79,0.79,+0.01,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,61000,42920,0.70,0.71,0.68,0.68,-0.02,4
105/09/14,38000,24700,0.65,0.65,0.65,0.65,-0.03,1
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,40000,21000,0.53,0.53,0.52,0.52,0.00,3
105/09/23,10000,5500,0.55,0.55,0.55,0.55,+0.03,1
105/09/26,5000,2350,0.47,0.47,0.47,0.47,-0.08,1
105/09/29,10000,3800,0.38,0.38,0.38,0.38,-0.09,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,55000,15950,0.29,0.29,0.29,0.29,-0.03,2
105/11/03,55000,13200,0.24,0.24,0.24,0.24,-0.05,1
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,199000,55720,0.28,0.28,0.28,0.28,0.00,1
105/11/23,199000,55720,0.28,0.28,0.28,0.28,0.00,2
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,5000,1250,0.25,0.25,0.25,0.25,+0.01,1
105/12/09,35000,11150,0.25,0.33,0.25,0.33,+0.08,2
105/12/12,35000,11200,0.32,0.32,0.32,0.32,-0.01,2
105/12/13,0,0,---,---,---,---,---,0
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,0,0,---,---,---,---,---,0
105/12/19,0,0,---,---,---,---,---,0
105/12/20,0,0,---,---,---,---,---,0
105/12/21,0,0,---,---,---,---,---,0
105/12/22,0,0,---,---,---,---,---,0
105/12/23,0,0,---,---,---,---,---,0
105/12/26,0,0,---,---,---,---,---,0
105/12/27,0,0,---,---,---,---,---,0
105/12/28,0,0,---,---,---,---,---,0
105/12/29,17000,3060,0.18,0.18,0.18,0.18,+0.01,3
105/12/30,0,0,---,---,---,---,---,0
106/01/03,15000,3150,0.21,0.21,0.21,0.21,+0.01,1
106/01/04,0,0,---,---,---,---,---,0
106/01/05,0,0,---,---,---,---,---,0
106/01/06,0,0,---,---,---,---,---,0
106/01/09,0,0,---,---,---,---,---,0
106/01/10,0,0,---,---,---,---,---,0
106/01/11,0,0,---,---,---,---,---,0
106/01/12,0,0,---,---,---,---,---,0
106/01/13,0,0,---,---,---,---,---,0
106/01/16,0,0,---,---,---,---,---,0
106/01/17,0,0,---,---,---,---,---,0
106/01/18,0,0,---,---,---,---,---,0
106/01/19,0,0,---,---,---,---,---,0
106/01/20,14000,1400,0.10,0.10,0.10,0.10,-0.01,1
106/01/23,10000,800,0.08,0.08,0.08,0.08,-0.02,1
106/01/24,0,0,---,---,---,---,---,0
106/02/02,0,0,---,---,---,---,---,0
