105/08/24,10000,6500,0.65,0.65,0.65,0.65,+0.02,1
105/08/25,20000,12600,0.63,0.63,0.63,0.63,-0.02,1
105/08/26,20000,12400,0.62,0.62,0.62,0.62,-0.01,1
105/08/29,10000,6100,0.61,0.61,0.61,0.61,-0.01,1
105/08/30,1000,680,0.68,0.68,0.68,0.68,+0.07,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,37000,22790,0.62,0.62,0.61,0.61,-0.05,2
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,200000,112000,0.53,0.59,0.53,0.59,+0.03,2
105/09/07,200000,114000,0.57,0.57,0.57,0.57,-0.02,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,12000,6720,0.56,0.56,0.56,0.56,+0.01,1
105/09/10,70000,36000,0.52,0.52,0.50,0.50,-0.06,2
105/09/12,10000,5000,0.50,0.50,0.50,0.50,0.00,1
105/09/13,70000,33600,0.48,0.48,0.48,0.48,-0.02,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,17000,7310,0.43,0.43,0.43,0.43,-0.03,2
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,70000,30600,0.44,0.44,0.43,0.43,0.00,2
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,35000,14350,0.41,0.41,0.41,0.41,-0.01,1
105/09/30,511000,231580,0.45,0.46,0.43,0.45,+0.04,5
105/10/03,462000,212350,0.46,0.47,0.45,0.45,0.00,4
105/10/04,3000,1380,0.46,0.46,0.46,0.46,+0.01,1
105/10/05,29000,13080,0.44,0.48,0.44,0.48,+0.02,3
105/10/06,151000,67950,0.45,0.45,0.45,0.45,-0.03,2
105/10/07,42000,19120,0.46,0.46,0.45,0.45,0.00,2
105/10/11,242000,111520,0.47,0.47,0.46,0.46,+0.01,2
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,10000,4100,0.41,0.41,0.41,0.41,-0.02,1
105/10/19,0,0,---,---,---,---,---,0
105/10/20,155000,63550,0.41,0.41,0.41,0.41,0.00,2
105/10/21,0,0,---,---,---,---,---,0
105/10/24,80000,33600,0.42,0.42,0.42,0.42,+0.01,1
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,50000,20500,0.41,0.41,0.41,0.41,0.00,1
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
