105/08/24,157000,124030,0.79,0.79,0.79,0.79,-0.03,1
105/08/25,349000,270650,0.78,0.78,0.77,0.77,-0.02,3
105/08/26,192000,144760,0.75,0.77,0.75,0.77,0.00,2
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,48000,33120,0.69,0.69,0.69,0.69,-0.01,1
105/09/01,0,0,---,---,---,---,---,0
105/09/02,162000,114420,0.69,0.72,0.69,0.72,+0.03,3
105/09/05,114000,79800,0.70,0.70,0.70,0.70,-0.02,1
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,20000,11600,0.58,0.58,0.58,0.58,-0.05,1
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
