105/08/24,1294000,1086310,0.82,0.86,0.81,0.85,+0.07,41
105/08/25,224000,171130,0.75,0.78,0.75,0.77,-0.08,7
105/08/26,248000,197800,0.77,0.80,0.77,0.80,+0.03,3
105/08/29,607000,493360,0.80,0.85,0.80,0.83,+0.03,12
105/08/30,575000,453400,0.80,0.80,0.78,0.79,-0.04,10
105/08/31,73000,55240,0.76,0.77,0.75,0.77,-0.02,6
105/09/01,20000,14850,0.75,0.75,0.74,0.74,-0.03,2
105/09/02,38000,27740,0.73,0.73,0.73,0.73,-0.01,1
105/09/05,779000,541930,0.67,0.71,0.67,0.71,-0.02,4
105/09/06,807000,570970,0.71,0.71,0.70,0.71,0.00,6
105/09/07,31000,20970,0.67,0.68,0.67,0.68,-0.03,2
105/09/08,37000,25160,0.68,0.68,0.68,0.68,0.00,1
105/09/09,12000,7560,0.63,0.63,0.63,0.63,-0.05,1
105/09/10,131000,75980,0.58,0.58,0.58,0.58,-0.05,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,20000,10200,0.51,0.51,0.51,0.51,-0.05,2
105/09/19,210000,113700,0.54,0.57,0.54,0.57,+0.06,3
105/09/20,200000,112000,0.56,0.56,0.56,0.56,-0.01,3
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,200000,50000,0.25,0.25,0.25,0.25,+0.01,1
105/10/24,200000,50000,0.25,0.25,0.25,0.25,0.00,1
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,1000,250,0.25,0.25,0.25,0.25,+0.04,1
105/11/03,1000,220,0.22,0.22,0.22,0.22,-0.03,1
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
