105/08/24,1000,830,0.83,0.83,0.83,0.83,+0.02,1
105/08/25,45000,37600,0.84,0.84,0.83,0.84,+0.01,3
105/08/26,85000,66500,0.78,0.80,0.76,0.80,-0.04,6
105/08/29,512000,411580,0.79,0.83,0.79,0.80,0.00,9
105/08/30,782000,626450,0.80,0.83,0.78,0.83,+0.03,16
105/08/31,265000,200600,0.78,0.78,0.75,0.76,-0.07,6
105/09/01,1378000,1404150,0.93,1.11,0.93,1.08,+0.32,45
105/09/02,1315000,1305350,1.03,1.03,0.90,0.90,-0.18,66
105/09/05,937000,878050,0.97,0.97,0.87,0.95,+0.05,24
105/09/06,1095000,1134710,1.00,1.10,0.99,1.00,+0.05,44
105/09/07,1234000,1246710,1.00,1.04,0.96,1.04,+0.04,44
105/09/08,645000,712910,1.08,1.13,1.07,1.10,+0.06,40
105/09/09,204000,217310,1.09,1.09,1.04,1.04,-0.06,17
105/09/10,150000,146280,0.96,0.98,0.96,0.98,-0.06,7
105/09/12,464000,479820,1.00,1.07,1.00,1.06,+0.08,14
105/09/13,868000,901490,1.06,1.06,0.98,1.05,-0.01,33
105/09/14,387000,397380,1.02,1.12,1.00,1.12,+0.07,20
105/09/19,508000,595280,1.13,1.48,1.11,1.45,+0.33,17
105/09/20,700000,1010760,1.46,1.57,1.31,1.34,-0.11,53
105/09/21,200000,256810,1.24,1.34,1.24,1.33,-0.01,9
105/09/22,10000,12820,1.29,1.29,1.28,1.28,-0.05,2
105/09/23,334000,466970,1.40,1.48,1.33,1.33,+0.05,5
105/09/26,29000,38560,1.34,1.34,1.32,1.32,-0.01,2
105/09/29,56000,78130,1.36,1.45,1.36,1.41,+0.09,3
105/09/30,8000,11280,1.41,1.41,1.41,1.41,0.00,1
105/10/03,46000,76910,1.72,1.72,1.61,1.61,+0.20,3
105/10/04,25000,42200,1.70,1.70,1.68,1.68,+0.07,3
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,62000,95480,1.54,1.54,1.54,1.54,-0.20,1
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,1000,1190,1.19,1.19,1.19,1.19,-0.21,1
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,15000,14100,0.94,0.94,0.94,0.94,-0.03,1
105/11/07,45000,46350,1.06,1.13,0.90,0.90,-0.04,3
105/11/08,30000,34500,1.15,1.15,1.15,1.15,+0.25,1
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
