105/08/24,118000,183780,1.54,1.56,1.54,1.55,+0.06,3
105/08/25,30000,51000,1.69,1.71,1.69,1.71,+0.16,3
105/08/26,30000,56800,1.90,1.90,1.89,1.89,+0.18,3
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,10000,20600,2.06,2.06,2.06,2.06,+0.11,1
105/09/08,10000,20500,2.05,2.05,2.05,2.05,-0.01,1
105/09/09,8000,15600,1.95,1.95,1.95,1.95,-0.10,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,8000,13440,1.68,1.68,1.68,1.68,-0.27,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,10000,16400,1.64,1.64,1.64,1.64,-0.27,1
105/09/30,10000,17400,1.74,1.74,1.74,1.74,+0.10,1
105/10/03,10000,18800,1.88,1.88,1.88,1.88,+0.14,1
105/10/04,10000,18900,1.89,1.89,1.89,1.89,+0.01,1
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
