105/08/24,179000,98450,0.55,0.55,0.55,0.55,-0.01,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,384000,234770,0.57,0.62,0.57,0.62,+0.07,4
105/08/31,358000,213380,0.60,0.60,0.59,0.59,-0.03,5
105/09/01,80000,46400,0.58,0.58,0.58,0.58,-0.01,1
105/09/02,250000,124900,0.50,0.50,0.49,0.49,-0.09,2
105/09/05,200000,95000,0.47,0.48,0.47,0.48,-0.01,2
105/09/06,390000,188400,0.49,0.50,0.46,0.50,+0.02,3
105/09/07,250000,127500,0.51,0.51,0.51,0.51,+0.01,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,4000,1640,0.41,0.41,0.41,0.41,-0.02,1
105/09/14,109000,41420,0.38,0.38,0.38,0.38,-0.03,2
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,200000,74000,0.37,0.37,0.37,0.37,0.00,1
105/09/23,300000,109000,0.37,0.37,0.35,0.35,-0.02,2
105/09/26,266000,93100,0.35,0.35,0.35,0.35,0.00,1
105/09/29,416000,146760,0.36,0.36,0.34,0.34,-0.01,3
105/09/30,538000,208690,0.41,0.41,0.37,0.40,+0.06,8
105/10/03,555000,217000,0.40,0.40,0.37,0.38,-0.02,7
105/10/04,300000,117500,0.39,0.40,0.38,0.38,0.00,3
105/10/05,195000,73400,0.38,0.38,0.37,0.37,-0.01,4
105/10/06,70000,26600,0.38,0.38,0.38,0.38,+0.01,1
105/10/07,130000,46800,0.36,0.36,0.36,0.36,-0.02,2
105/10/11,585000,217000,0.40,0.40,0.35,0.38,+0.02,8
105/10/12,657000,248660,0.38,0.39,0.37,0.38,0.00,6
105/10/13,210000,81900,0.39,0.39,0.39,0.39,+0.01,2
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,100000,35000,0.35,0.35,0.35,0.35,-0.01,1
105/10/19,245000,84300,0.34,0.35,0.34,0.35,0.00,4
105/10/20,195000,67500,0.34,0.35,0.34,0.35,0.00,4
105/10/21,80000,27200,0.34,0.34,0.34,0.34,-0.01,2
105/10/24,120000,41200,0.34,0.36,0.34,0.36,+0.02,2
105/10/25,0,0,---,---,---,---,---,0
105/10/26,150000,51500,0.35,0.35,0.34,0.34,0.00,2
105/10/27,100000,34000,0.34,0.34,0.34,0.34,0.00,1
105/10/28,0,0,---,---,---,---,---,0
105/10/31,50000,16000,0.32,0.32,0.32,0.32,-0.02,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,109000,22990,0.22,0.22,0.21,0.21,-0.02,2
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,266000,50540,0.19,0.19,0.19,0.19,-0.01,1
105/11/10,365000,63040,0.17,0.18,0.17,0.18,-0.01,2
105/11/11,0,0,---,---,---,---,---,0
105/11/14,99000,5940,0.06,0.06,0.06,0.06,-0.03,1
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
105/12/12,0,0,---,---,---,---,---,0
105/12/13,0,0,---,---,---,---,---,0
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,0,0,---,---,---,---,---,0
105/12/19,0,0,---,---,---,---,---,0
