105/08/24,90000,46500,0.55,0.55,0.51,0.51,-0.09,6
105/08/25,62000,28120,0.46,0.46,0.42,0.42,-0.09,2
105/08/26,67000,18760,0.28,0.28,0.28,0.28,-0.14,2
105/08/29,0,0,---,---,---,---,---,0
105/08/30,180000,46800,0.26,0.26,0.26,0.26,-0.03,4
105/08/31,370000,98000,0.27,0.27,0.26,0.26,0.00,7
105/09/01,245000,61850,0.26,0.26,0.25,0.25,-0.01,5
105/09/02,150000,34500,0.23,0.23,0.23,0.23,-0.02,3
105/09/05,150000,28500,0.19,0.19,0.19,0.19,-0.04,3
105/09/06,10000,2400,0.24,0.24,0.24,0.24,+0.05,1
105/09/07,10000,2400,0.24,0.24,0.24,0.24,0.00,2
105/09/08,0,0,---,---,---,---,---,0
105/09/09,320000,64200,0.20,0.21,0.20,0.21,-0.03,5
105/09/10,440000,72800,0.17,0.18,0.15,0.15,-0.06,9
105/09/12,1340000,180800,0.14,0.14,0.13,0.13,-0.02,8
105/09/13,730000,92800,0.13,0.13,0.11,0.12,-0.01,6
105/09/14,300000,27000,0.09,0.09,0.09,0.09,-0.03,1
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,5000,800,0.16,0.16,0.16,0.16,-0.01,1
105/09/22,10000,2000,0.20,0.20,0.20,0.20,+0.04,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,50000,6500,0.13,0.13,0.13,0.13,-0.06,1
105/10/04,70000,7000,0.10,0.10,0.10,0.10,-0.03,5
105/10/05,40000,3200,0.08,0.08,0.08,0.08,-0.02,3
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,30000,2700,0.09,0.09,0.09,0.09,0.00,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,147000,8820,0.06,0.06,0.06,0.06,-0.02,11
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
