105/11/03,108000,156160,1.38,1.57,1.38,1.57,+0.20,10
105/11/04,382000,609180,1.62,1.64,1.52,1.56,-0.01,14
105/11/07,702000,1127610,1.54,1.85,1.54,1.75,+0.19,24
105/11/08,553000,1005370,1.76,2.03,1.75,2.03,+0.28,26
105/11/09,21000,42280,2.04,2.08,1.95,2.08,+0.05,6
105/11/10,4000,8030,2.00,2.01,2.00,2.01,-0.07,2
105/11/11,8000,17420,2.23,2.23,2.16,2.16,+0.15,2
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,14000,30020,2.17,2.17,2.14,2.14,-0.04,2
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,0,0,---,---,---,---,---,0
105/11/30,0,0,---,---,---,---,---,0
105/12/01,0,0,---,---,---,---,---,0
105/12/02,0,0,---,---,---,---,---,0
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,0,0,---,---,---,---,---,0
