105/09/01,1468000,1823940,1.16,1.28,1.16,1.28,+0.16,26
105/09/02,401000,566120,1.33,1.48,1.33,1.43,+0.15,13
105/09/05,302000,441050,1.45,1.50,1.42,1.50,+0.07,11
105/09/06,200000,291310,1.48,1.48,1.45,1.45,-0.05,7
105/09/07,86000,126900,1.44,1.48,1.44,1.47,+0.02,3
105/09/08,382000,553060,1.47,1.47,1.44,1.46,-0.01,8
105/09/09,728000,1132960,1.56,1.57,1.55,1.57,+0.11,6
105/09/10,528000,875180,1.65,1.70,1.64,1.70,+0.13,12
105/09/12,250000,415000,1.68,1.68,1.65,1.66,-0.04,5
105/09/13,200000,326000,1.63,1.63,1.63,1.63,-0.03,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,200000,318000,1.59,1.59,1.59,1.59,-0.07,2
105/09/20,250000,385900,1.55,1.56,1.53,1.54,-0.05,4
105/09/21,150000,234000,1.56,1.56,1.56,1.56,+0.02,3
105/09/22,100000,160000,1.60,1.60,1.60,1.60,+0.04,1
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,1000,1740,1.74,1.74,1.74,1.74,+0.10,1
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,10000,16900,1.69,1.69,1.69,1.69,+0.01,1
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
105/10/19,0,0,---,---,---,---,---,0
105/10/20,0,0,---,---,---,---,---,0
105/10/21,0,0,---,---,---,---,---,0
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,0,0,---,---,---,---,---,0
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,0,0,---,---,---,---,---,0
105/11/22,0,0,---,---,---,---,---,0
105/11/23,0,0,---,---,---,---,---,0
