105/08/24,22000,2420,0.11,0.11,0.11,0.11,+0.01,2
105/08/25,32000,3300,0.11,0.11,0.10,0.10,-0.01,2
105/08/26,10000,900,0.09,0.09,0.09,0.09,-0.01,1
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,33000,3850,0.11,0.12,0.11,0.12,+0.03,3
105/09/01,10000,900,0.09,0.09,0.09,0.09,-0.03,1
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,14000,840,0.06,0.06,0.06,0.06,-0.01,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,23000,1150,0.05,0.05,0.05,0.05,-0.02,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,60000,1800,0.03,0.03,0.03,0.03,0.00,1
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
