105/08/24,100000,129000,1.29,1.29,1.29,1.29,-0.02,2
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,30000,35400,1.18,1.18,1.18,1.18,-0.04,2
105/08/30,30000,35100,1.17,1.17,1.17,1.17,-0.01,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,199000,163180,0.82,0.82,0.82,0.82,+0.01,1
105/09/07,199000,147260,0.74,0.74,0.74,0.74,-0.08,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,146000,109500,0.75,0.75,0.75,0.75,+0.02,1
105/09/10,146000,121180,0.83,0.83,0.83,0.83,+0.08,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,10000,6100,0.61,0.61,0.61,0.61,+0.02,1
105/09/29,50000,31900,0.57,0.68,0.57,0.68,+0.07,5
105/09/30,40000,25800,0.65,0.65,0.63,0.63,-0.05,3
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,0,0,---,---,---,---,---,0
