105/08/24,416000,540700,1.29,1.31,1.28,1.28,-0.08,4
105/08/25,290000,361100,1.25,1.25,1.24,1.25,-0.03,3
105/08/26,331000,414880,1.24,1.29,1.24,1.29,0.04,5
105/08/29,210000,275950,1.32,1.33,1.28,1.28,-0.01,7
105/08/30,290000,335880,1.17,1.18,1.15,1.18,-0.10,7
105/08/31,480000,564200,1.16,1.19,1.16,1.19,0.01,4
105/09/01,480000,595960,1.22,1.25,1.21,1.25,0.06,10
105/09/02,694000,892500,1.26,1.34,1.25,1.30,0.05,9
105/09/05,693000,853510,1.21,1.24,1.21,1.23,-0.07,10
105/09/06,325000,371760,1.14,1.15,1.14,1.15,-0.08,5
105/09/07,162000,173610,1.12,1.12,0.99,0.99,-0.16,11
105/09/08,227000,188540,0.86,0.87,0.82,0.82,-0.17,7
105/09/09,298000,247600,0.84,0.84,0.82,0.82,,5
105/09/10,448000,398230,0.90,0.90,0.86,0.90,0.08,8
105/09/12,456000,383700,0.87,0.87,0.79,0.80,-0.10,19
105/09/13,158000,122340,0.76,0.82,0.76,0.82,0.02,6
105/09/14,81000,54110,0.68,0.68,0.64,0.64,-0.18,6
105/09/19,73000,36120,0.51,0.51,0.46,0.46,-0.18,6
105/09/20,0,0,--,--,--,--,,0
105/09/21,43000,21070,0.49,0.49,0.49,0.49,X,1
105/09/22,129000,59930,0.45,0.49,0.45,0.49,,6
105/09/23,124000,57280,0.47,0.47,0.45,0.45,-0.04,3
105/09/26,820000,430280,0.51,0.54,0.50,0.53,0.08,14
105/09/29,848000,422520,0.51,0.52,0.48,0.49,-0.04,12
105/09/30,332000,175960,0.53,0.53,0.53,0.53,0.04,3
105/10/03,537000,286480,0.52,0.56,0.52,0.56,0.03,6
105/10/04,505000,242950,0.49,0.50,0.45,0.45,-0.11,5
105/10/05,427000,198670,0.46,0.49,0.46,0.49,0.04,5
105/10/06,802000,431650,0.49,0.59,0.49,0.58,0.09,17
105/10/07,645000,378900,0.55,0.61,0.55,0.61,0.03,9
105/10/11,661000,385530,0.55,0.64,0.55,0.58,-0.03,12
105/10/12,661000,362530,0.58,0.58,0.53,0.53,-0.05,9
105/10/13,200000,106500,0.53,0.54,0.53,0.54,0.01,2
105/10/14,5000,2900,0.58,0.58,0.58,0.58,0.04,1
105/10/17,0,0,--,--,--,--,,0
105/10/18,55000,32450,0.59,0.59,0.59,0.59,X,3
105/10/19,0,0,--,--,--,--,,0
105/10/20,130000,61700,0.50,0.50,0.47,0.47,X,3
105/10/21,0,0,--,--,--,--,,0
105/10/24,120000,62160,0.52,0.54,0.50,0.50,X,4
105/10/25,109000,54100,0.50,0.50,0.45,0.45,-0.05,4
105/10/26,147000,67670,0.47,0.47,0.46,0.46,0.01,3
105/10/27,251000,118530,0.46,0.49,0.46,0.47,0.01,5
105/10/28,201000,96510,0.49,0.49,0.47,0.47,,3
105/10/31,102000,51000,0.50,0.50,0.50,0.50,0.03,2
105/11/01,0,0,--,--,--,--,,0
105/11/02,73000,41750,0.55,0.63,0.55,0.63,X,2
105/11/03,81000,58830,0.73,0.73,0.71,0.71,0.08,4
105/11/04,90000,69150,0.74,0.78,0.74,0.78,0.07,6
105/11/07,51000,33480,0.73,0.73,0.65,0.66,-0.12,4
105/11/08,1000,620,0.62,0.62,0.62,0.62,-0.04,1
105/11/09,2000,1300,0.56,0.74,0.56,0.74,0.12,2
105/11/10,26000,16370,0.62,0.63,0.62,0.63,-0.11,2
105/11/11,5000,4090,0.77,0.89,0.77,0.89,0.26,3
105/11/14,219000,197340,0.90,0.93,0.86,0.93,0.04,7
105/11/15,239000,220300,0.94,0.94,0.88,0.88,-0.05,5
105/11/16,261000,227250,0.81,0.90,0.81,0.89,0.01,8
105/11/17,66000,56050,0.85,0.85,0.84,0.84,-0.05,2
105/11/18,30000,23800,0.82,0.82,0.74,0.74,-0.10,2
105/11/21,10000,6800,0.68,0.68,0.68,0.68,-0.06,1
105/11/22,22000,13420,0.61,0.61,0.61,0.61,-0.07,2
105/11/23,193000,124410,0.63,0.66,0.63,0.66,0.05,4
105/11/24,367000,243990,0.67,0.70,0.65,0.69,0.03,15
105/11/25,171000,110940,0.64,0.66,0.64,0.65,-0.04,5
105/11/28,129000,58290,0.60,0.60,0.43,0.44,-0.21,7
105/11/29,103000,37210,0.37,0.39,0.35,0.35,-0.09,7
105/11/30,108000,45040,0.38,0.43,0.38,0.43,0.08,11
105/12/01,142000,53970,0.40,0.41,0.36,0.37,-0.06,12
105/12/02,46000,16950,0.39,0.39,0.35,0.37,,5
105/12/05,107000,40660,0.36,0.40,0.36,0.40,0.03,6
105/12/06,5000,1750,0.35,0.35,0.35,0.35,-0.05,1
105/12/07,8000,2930,0.36,0.37,0.36,0.36,0.01,3
105/12/08,100000,34000,0.34,0.34,0.34,0.34,-0.02,1
105/12/09,105000,34600,0.32,0.33,0.32,0.33,-0.01,2
105/12/12,17000,5220,0.30,0.32,0.29,0.32,-0.01,4
105/12/13,6000,1860,0.31,0.31,0.31,0.31,-0.01,1
105/12/14,16000,4560,0.28,0.29,0.28,0.29,-0.02,2
105/12/15,8000,2240,0.28,0.28,0.28,0.28,-0.01,1
105/12/16,56000,12560,0.23,0.24,0.22,0.24,-0.04,3
105/12/19,14000,4180,0.29,0.31,0.29,0.31,0.07,2
105/12/20,111000,39040,0.29,0.36,0.29,0.36,0.05,8
105/12/21,100000,32040,0.31,0.34,0.31,0.34,-0.02,7
105/12/22,22000,8740,0.35,0.41,0.35,0.40,0.06,8
105/12/23,29000,10900,0.38,0.39,0.36,0.39,-0.01,6
105/12/26,9000,3330,0.37,0.37,0.37,0.37,-0.02,2
105/12/27,6000,2100,0.35,0.35,0.35,0.35,-0.02,2
105/12/28,9000,2670,0.30,0.30,0.27,0.27,-0.08,2
105/12/29,105000,31500,0.30,0.30,0.30,0.30,0.03,3
105/12/30,111000,28050,0.27,0.28,0.25,0.25,-0.05,3
106/01/03,19000,4410,0.23,0.24,0.21,0.21,-0.04,4
106/01/04,0,0,--,--,--,--,,0
106/01/05,1000,230,0.23,0.23,0.23,0.23,X,1
106/01/06,21000,3890,0.18,0.19,0.18,0.19,-0.04,3
106/01/09,0,0,--,--,--,--,,0
