105/08/24,40000,11600,0.32,0.32,0.28,0.28,-0.07,2
105/08/25,100000,19700,0.20,0.20,0.18,0.18,-0.10,4
105/08/26,288000,28200,0.08,0.10,0.08,0.09,-0.09,11
105/08/29,74000,7680,0.12,0.12,0.09,0.09,0.00,3
105/08/30,114000,6840,0.06,0.06,0.06,0.06,-0.03,2
105/08/31,200000,12000,0.06,0.06,0.06,0.06,0.00,1
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,20000,200,0.01,0.01,0.01,0.01,-0.02,1
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
